Meldepunkt;OBIS-Kennzahl;Lücke von;Lücke bis;Status der Lücke;Erläuterung
10181416133;1-0:1.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10181455595;1-1:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10181520249;1-0:1.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10181526700;1-0:1.29.0;16.04.2025 20:30;20.04.2025 17:15;V;Vorläufiger Wert
10181915234;1-0:1.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10181936933;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10181936959;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10181991937;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10182000042;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
10182000381;1-1:2.29.0;20.04.2025 16:45;20.04.2025 17:00;V;Vorläufiger Wert
10182004664;1-1:2.29.0;15.04.2025 00:15;16.04.2025 00:00;V;Vorläufiger Wert
10182004664;1-1:2.29.0;16.04.2025 20:30;20.04.2025 17:15;V;Vorläufiger Wert
