Meldepunkt;OBIS-Kennzahl;Lücke von;Lücke bis;Status der Lücke;Erläuterung
10221527692;1-0:1.29.0;14.04.2025 00:15;14.04.2025 11:45;V;Vorläufiger Wert
10221527692;1-0:1.29.0;20.04.2025 17:45;20.04.2025 18:00;V;Vorläufiger Wert
10221575518;1-0:1.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10221605597;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10221614035;1-0:1.29.0;14.04.2025 07:45;14.04.2025 08:00;V;Vorläufiger Wert
10221614035;1-0:1.29.0;14.04.2025 10:15;14.04.2025 10:30;V;Vorläufiger Wert
10221614035;1-0:1.29.0;14.04.2025 12:45;14.04.2025 13:00;V;Vorläufiger Wert
10221614035;1-0:1.29.0;14.04.2025 15:15;14.04.2025 15:30;V;Vorläufiger Wert
10221614035;1-0:1.29.0;15.04.2025 11:00;15.04.2025 11:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;15.04.2025 13:30;15.04.2025 13:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;15.04.2025 16:00;15.04.2025 16:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;15.04.2025 18:30;15.04.2025 18:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;16.04.2025 06:00;16.04.2025 06:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;16.04.2025 07:30;16.04.2025 07:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;16.04.2025 10:00;16.04.2025 10:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;16.04.2025 12:30;16.04.2025 12:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;17.04.2025 08:15;17.04.2025 08:30;V;Vorläufiger Wert
10221614035;1-0:1.29.0;17.04.2025 10:45;17.04.2025 11:00;V;Vorläufiger Wert
10221614035;1-0:1.29.0;17.04.2025 13:15;17.04.2025 13:30;V;Vorläufiger Wert
10221614035;1-0:1.29.0;18.04.2025 02:15;18.04.2025 02:30;V;Vorläufiger Wert
10221614035;1-0:1.29.0;18.04.2025 04:45;18.04.2025 05:00;V;Vorläufiger Wert
10221614035;1-0:1.29.0;18.04.2025 07:15;18.04.2025 07:30;V;Vorläufiger Wert
10221614035;1-0:1.29.0;18.04.2025 09:45;18.04.2025 10:00;V;Vorläufiger Wert
10221614035;1-0:1.29.0;19.04.2025 05:30;19.04.2025 05:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;19.04.2025 08:00;19.04.2025 08:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;19.04.2025 10:30;19.04.2025 10:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;19.04.2025 13:00;19.04.2025 13:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;20.04.2025 02:30;20.04.2025 02:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;20.04.2025 04:30;20.04.2025 04:45;V;Vorläufiger Wert
10221614035;1-0:1.29.0;20.04.2025 07:00;20.04.2025 07:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;20.04.2025 16:00;20.04.2025 16:15;V;Vorläufiger Wert
10221614035;1-0:1.29.0;20.04.2025 17:45;20.04.2025 18:00;V;Vorläufiger Wert
10221614035;1-0:1.29.0;20.04.2025 20:15;20.04.2025 20:30;V;Vorläufiger Wert
10221614035;1-0:1.29.0;20.04.2025 22:45;20.04.2025 23:00;V;Vorläufiger Wert
10221614457;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10221619431;1-0:1.29.0;17.04.2025 09:30;17.04.2025 09:45;V;Vorläufiger Wert
10221624349;1-0:1.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10221783244;1-0:1.29.0;14.04.2025 00:15;21.04.2025 00:00;V;Vorläufiger Wert
10221795504;1-1:2.29.0;20.04.2025 16:15;20.04.2025 16:30;V;Vorläufiger Wert
10221796205;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;F;Fehlender Wert
10221797170;1-1:2.29.0;20.04.2025 18:00;20.04.2025 18:15;V;Vorläufiger Wert
10221803688;1-1:2.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10221803696;1-1:2.29.0;20.04.2025 18:45;20.04.2025 19:00;V;Vorläufiger Wert
10221805767;1-1:2.29.0;14.04.2025 00:15;21.04.2025 00:00;N;Keine Daten vorhanden
